,,,,,,,,,
,,,,,,,,,
Item ID,Task Backlog,Owner 1,Owner 2,Est. Completion Time(hours),Status,Goal/Reach,Actual Completion Time (Hours),Demo,Notes
1,Set up virtual environment,,,,,Goal,,,
2,Create repetition code,,,,,Goal,,,
3,Create example Docker,,,,,,,,
4,Run test Docker,,,,,,,,
5,Run test Docker,,,,,,,,
6,Run test Docker,,,,,,,,
7,Run test Docker,,,,,,,,
8,Create/Find surface code,,,,,,,,
9,Create Surface Code code in stim,,,,,,,,
10,Simulate surface code,,,,,,,,
11,Add error correction,,,,,,,,
12,Validate correction results,,,,,,,,
13,Compare with baseline results,,,,,,,,
14,Minimum weight perfect matching for the transformer,,,,,,,,
15,Connect to the ARC,,,,,,,,
16,Generate/find training data,,,,,,,,
17,Vectorize training data,,,,,,,,
18,Train small model on local computers,,,,,,,,
19,Define loss function,,,,,,,,
20,Train full model on the ARC,,,,,,,,
21,Generate other codes to test with,,,,,Reach,,,